,Year_Birth,Education,Age,Age_Group,Income,IncomeClass,FamilySize,Dt_Customer,Recency,Day_Joined,Month_Joined,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,T_AmountSpent,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,T_NPurchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,T_AcceptedCmpgn
446,1972,Postgraduate,42,Middle-aged,42618.0,Lower Middle,2,2013-10-09,92,Wednesday,October,76.0,14.0,74.0,13.0,5.0,10.0,192.0,2,5,0,4,8,11,0,0,0,0,0,0
447,1964,Undergraduate,50,Middle-aged,81246.0,Middle,1,2013-12-29,87,Sunday,December,398.0,190.0,537.0,61.0,156.0,37.0,1379.0,1,4,5,7,1,17,1,0,0,1,0,2
448,1976,Undergraduate,38,Young Adults,24027.0,Poor,3,2013-06-09,7,Sunday,June,14.0,7.0,11.0,11.0,0.0,5.0,48.0,2,2,0,3,8,7,0,0,0,0,0,0
449,1953,Postgraduate,61,Old,55707.0,Middle,3,2013-12-22,91,Sunday,December,208.0,7.0,82.0,30.0,66.0,35.0,428.0,2,3,2,9,3,16,0,0,0,0,0,0
450,1955,Undergraduate,59,Middle-aged,57959.0,Middle,2,2013-05-02,71,Thursday,May,430.0,16.0,322.0,43.0,24.0,33.0,868.0,5,4,7,11,3,27,0,0,0,0,0,0
451,1969,Undergraduate,45,Middle-aged,56796.0,Middle,3,2013-02-16,24,Saturday,February,656.0,38.0,161.0,62.0,47.0,37.0,1001.0,3,8,9,7,7,27,0,0,0,0,0,0
452,1971,Postgraduate,43,Middle-aged,36230.0,Lower Middle,2,2013-10-17,17,Thursday,October,14.0,2.0,30.0,8.0,2.0,3.0,59.0,1,2,0,4,5,7,0,0,0,0,0,0
453,1980,Postgraduate,34,Young Adults,70829.0,Middle,4,2013-12-01,87,Sunday,December,141.0,70.0,106.0,72.0,19.0,23.0,431.0,2,4,2,8,3,16,0,0,0,0,0,0
454,1976,Undergraduate,38,Young Adults,65991.0,Middle,3,2012-09-07,21,Friday,September,507.0,19.0,364.0,25.0,47.0,9.0,971.0,3,9,5,10,7,27,0,0,0,0,0,0
455,1972,Undergraduate,42,Middle-aged,38988.0,Lower Middle,5,2012-08-20,90,Monday,August,164.0,24.0,103.0,12.0,3.0,42.0,348.0,7,5,1,6,8,19,0,0,0,0,0,0
456,1966,Postgraduate,48,Middle-aged,89572.0,Middle,1,2012-09-15,44,Saturday,September,606.0,24.0,974.0,197.0,194.0,64.0,2059.0,1,7,7,9,4,24,0,1,0,1,0,2
457,1984,Postgraduate,30,Young Adults,42207.0,Lower Middle,3,2013-04-01,71,Monday,April,116.0,11.0,72.0,3.0,17.0,46.0,265.0,4,4,1,5,6,14,1,0,0,0,0,1
458,1952,Undergraduate,62,Old,50300.0,Middle,3,2014-05-25,52,Sunday,May,143.0,15.0,60.0,24.0,23.0,5.0,270.0,2,2,1,8,2,13,0,0,0,0,0,0
459,1982,Postgraduate,32,Young Adults,66664.0,Middle,2,2012-09-25,78,Tuesday,September,398.0,96.0,447.0,220.0,96.0,32.0,1289.0,1,5,7,6,3,19,0,0,0,0,0,0
460,1964,Undergraduate,50,Middle-aged,60597.0,Middle,3,2014-01-01,2,Wednesday,January,522.0,0.0,257.0,32.0,16.0,66.0,893.0,4,2,2,8,7,16,0,0,0,1,0,1
461,1949,Undergraduate,65,Old,70165.0,Middle,1,2013-09-22,60,Sunday,September,161.0,0.0,253.0,199.0,191.0,122.0,926.0,1,3,7,11,1,22,0,0,0,0,0,0
462,1958,Postgraduate,56,Middle-aged,50520.0,Middle,2,2014-01-28,25,Tuesday,January,112.0,0.0,6.0,2.0,1.0,14.0,135.0,2,3,1,3,6,9,0,0,0,0,0,0
464,1975,Undergraduate,39,Young Adults,33183.0,Lower Middle,3,2014-02-24,46,Monday,February,7.0,5.0,39.0,17.0,15.0,37.0,120.0,2,4,0,3,7,9,0,0,0,0,0,0
465,1969,Postgraduate,45,Middle-aged,66582.0,Middle,1,2014-03-03,83,Monday,March,789.0,25.0,420.0,16.0,38.0,0.0,1288.0,1,2,8,9,1,20,0,0,0,0,0,0
466,1955,Postgraduate,59,Middle-aged,75261.0,Middle,2,2013-04-23,17,Tuesday,April,1239.0,17.0,413.0,23.0,34.0,17.0,1743.0,1,5,6,5,2,17,0,1,1,0,0,2
467,1970,Undergraduate,44,Middle-aged,31880.0,Lower Middle,2,2012-10-31,13,Wednesday,October,4.0,1.0,5.0,2.0,0.0,3.0,15.0,1,1,0,2,8,4,0,0,0,0,0,0
468,1951,Undergraduate,63,Old,53790.0,Middle,4,2014-03-06,86,Thursday,March,335.0,42.0,127.0,28.0,5.0,5.0,542.0,3,7,2,8,6,20,0,0,0,0,0,0
469,1971,Postgraduate,43,Middle-aged,49269.0,Lower Middle,3,2012-08-15,92,Wednesday,August,639.0,8.0,166.0,11.0,8.0,58.0,890.0,3,7,3,12,7,25,0,0,0,0,0,0
470,1975,Undergraduate,39,Young Adults,61456.0,Middle,3,2013-03-27,47,Wednesday,March,563.0,76.0,384.0,84.0,192.0,89.0,1388.0,4,6,10,13,4,33,0,0,0,0,0,0
471,1980,Undergraduate,34,Young Adults,37406.0,Lower Middle,3,2013-10-10,18,Thursday,October,2.0,0.0,8.0,2.0,2.0,3.0,17.0,1,1,0,2,8,4,0,0,0,0,0,0
472,1981,Postgraduate,33,Young Adults,56937.0,Middle,3,2012-08-04,81,Saturday,August,746.0,8.0,125.0,11.0,8.0,8.0,906.0,7,8,6,9,6,30,0,1,0,0,0,1
473,1978,Undergraduate,36,Young Adults,38415.0,Lower Middle,4,2013-01-02,91,Wednesday,January,22.0,1.0,13.0,4.0,0.0,4.0,44.0,2,1,0,3,7,6,0,0,0,0,0,0
474,1988,Undergraduate,26,Young Adults,20518.0,Poor,2,2014-05-18,58,Sunday,May,4.0,1.0,6.0,4.0,1.0,9.0,25.0,1,1,1,2,5,5,0,0,0,0,0,0
475,1956,Undergraduate,58,Middle-aged,62503.0,Middle,3,2013-02-18,40,Monday,February,478.0,0.0,193.0,110.0,75.0,117.0,973.0,4,8,3,11,5,26,0,0,0,0,0,0
476,1972,Postgraduate,42,Middle-aged,41644.0,Lower Middle,3,2014-05-09,67,Friday,May,20.0,3.0,4.0,2.0,0.0,2.0,31.0,2,1,0,3,3,6,0,0,0,0,0,0
477,1977,Postgraduate,37,Young Adults,55842.0,Middle,3,2014-05-23,19,Friday,May,451.0,0.0,39.0,0.0,4.0,24.0,518.0,1,7,1,8,5,17,0,0,0,0,0,0
478,1972,Postgraduate,42,Middle-aged,62010.0,Middle,3,2012-10-23,93,Tuesday,October,371.0,22.0,39.0,6.0,0.0,92.0,530.0,4,6,2,7,5,19,0,0,0,0,0,0
479,1977,Undergraduate,37,Young Adults,41124.0,Lower Middle,3,2012-10-31,41,Wednesday,October,281.0,7.0,84.0,15.0,0.0,119.0,506.0,7,7,3,4,8,21,0,0,0,0,0,0
480,1973,Postgraduate,41,Middle-aged,38961.0,Lower Middle,3,2013-12-30,60,Monday,December,19.0,7.0,19.0,0.0,1.0,24.0,70.0,1,2,1,2,7,6,0,0,0,0,0,0
481,1972,Postgraduate,42,Middle-aged,37760.0,Lower Middle,2,2013-08-11,54,Sunday,August,26.0,3.0,13.0,2.0,10.0,0.0,54.0,1,2,0,3,6,6,0,0,0,0,0,0
482,1974,Undergraduate,40,Middle-aged,32233.0,Lower Middle,2,2012-08-19,26,Sunday,August,138.0,15.0,35.0,25.0,11.0,72.0,296.0,2,6,2,2,9,12,1,0,0,0,0,1
483,1975,Undergraduate,39,Young Adults,43057.0,Lower Middle,3,2013-10-30,30,Wednesday,October,213.0,2.0,44.0,0.0,2.0,5.0,266.0,4,4,2,5,5,15,0,0,0,0,0,0
484,1960,Postgraduate,54,Middle-aged,83151.0,Middle,2,2012-10-10,93,Wednesday,October,407.0,28.0,100.0,120.0,74.0,18.0,747.0,1,5,9,4,3,19,0,0,0,0,0,0
485,1964,Postgraduate,50,Middle-aged,78825.0,Middle,1,2012-09-14,35,Friday,September,483.0,74.0,114.0,169.0,37.0,18.0,895.0,1,5,10,13,3,29,0,0,0,0,0,0
486,1976,Postgraduate,38,Young Adults,65104.0,Middle,3,2013-11-14,4,Thursday,November,738.0,0.0,232.0,13.0,20.0,50.0,1053.0,2,3,5,7,7,17,0,0,0,0,0,0
487,1974,Undergraduate,40,Middle-aged,60093.0,Middle,3,2013-06-26,92,Wednesday,June,502.0,12.0,109.0,16.0,6.0,90.0,735.0,2,7,2,10,6,21,0,0,0,0,0,0
488,1969,Undergraduate,45,Middle-aged,14045.0,Poor,3,2014-01-26,24,Sunday,January,11.0,0.0,5.0,2.0,1.0,1.0,20.0,1,1,0,3,7,5,0,0,0,0,0,0
489,1952,Postgraduate,62,Old,28457.0,Poor,1,2012-10-28,96,Sunday,October,24.0,1.0,108.0,29.0,29.0,14.0,205.0,1,4,1,4,8,10,0,0,0,0,0,0
490,1958,Postgraduate,56,Middle-aged,78952.0,Middle,3,2012-09-24,11,Monday,September,1170.0,19.0,594.0,99.0,76.0,134.0,2092.0,2,2,5,12,6,21,0,0,0,0,0,0
491,1976,Undergraduate,38,Young Adults,46310.0,Lower Middle,2,2012-12-03,99,Monday,December,185.0,2.0,88.0,15.0,5.0,14.0,309.0,2,6,1,5,8,14,0,0,0,0,0,0
492,1955,Undergraduate,59,Middle-aged,76005.0,Middle,2,2013-02-22,72,Friday,February,983.0,20.0,389.0,240.0,50.0,40.0,1722.0,1,3,5,13,6,22,0,0,0,1,0,1
493,1964,Postgraduate,50,Middle-aged,58308.0,Middle,2,2013-01-12,77,Saturday,January,691.0,0.0,69.0,10.0,0.0,130.0,900.0,4,2,6,3,8,15,0,0,0,0,0,0
494,1944,Postgraduate,70,Old,55614.0,Middle,1,2013-11-27,85,Wednesday,November,504.0,13.0,131.0,8.0,0.0,26.0,682.0,1,9,4,6,7,20,0,1,0,0,0,1
495,1962,Postgraduate,52,Middle-aged,59432.0,Middle,2,2013-04-13,88,Saturday,April,317.0,25.0,265.0,25.0,19.0,12.0,663.0,3,5,3,11,5,22,0,0,0,0,0,0
496,1978,Undergraduate,36,Young Adults,55563.0,Middle,2,2014-04-05,22,Saturday,April,29.0,1.0,9.0,2.0,0.0,2.0,43.0,1,2,0,3,3,6,0,0,0,0,0,0
497,1971,Postgraduate,43,Middle-aged,78642.0,Middle,3,2013-04-21,83,Sunday,April,1396.0,0.0,322.0,46.0,35.0,17.0,1816.0,1,4,9,4,6,18,0,0,0,0,0,0
498,1949,Postgraduate,65,Old,67911.0,Middle,3,2014-05-22,63,Thursday,May,529.0,0.0,356.0,63.0,28.0,0.0,976.0,3,6,7,11,3,27,0,0,0,0,0,0
499,1944,Undergraduate,70,Old,65275.0,Middle,2,2013-04-03,9,Wednesday,April,388.0,14.0,218.0,91.0,14.0,21.0,746.0,1,4,3,13,2,21,0,0,0,0,0,0
500,1950,Undergraduate,64,Old,27203.0,Poor,4,2012-08-06,92,Monday,August,13.0,2.0,21.0,4.0,0.0,24.0,64.0,2,1,1,2,8,6,0,0,0,0,0,0
501,1961,Postgraduate,53,Middle-aged,48330.0,Lower Middle,3,2013-11-15,2,Friday,November,28.0,0.0,4.0,0.0,0.0,0.0,32.0,1,1,0,3,5,5,0,0,0,0,0,0
502,1990,Basic,24,Young Adults,24279.0,Poor,2,2012-12-29,6,Saturday,December,16.0,36.0,21.0,20.0,62.0,108.0,263.0,1,4,1,3,8,9,0,0,0,0,0,0
503,1985,Postgraduate,29,Young Adults,64355.0,Middle,3,2012-08-24,66,Friday,August,1047.0,0.0,140.0,67.0,38.0,153.0,1445.0,2,4,3,12,8,21,0,0,0,0,0,0
505,1953,Undergraduate,61,Old,53653.0,Middle,1,2012-11-07,29,Wednesday,November,815.0,10.0,239.0,28.0,10.0,108.0,1210.0,2,10,4,12,6,28,0,0,0,0,0,0
506,1976,Undergraduate,38,Young Adults,65665.0,Middle,3,2013-12-02,77,Monday,December,225.0,162.0,387.0,106.0,36.0,29.0,945.0,1,5,10,8,3,24,0,0,0,0,0,0
507,1989,Undergraduate,25,Young Adults,81217.0,Middle,1,2013-07-19,77,Friday,July,493.0,70.0,324.0,146.0,40.0,84.0,1157.0,1,3,7,11,1,22,0,0,0,0,0,0
508,1992,Undergraduate,22,Young Adults,34935.0,Lower Middle,2,2013-06-21,71,Friday,June,34.0,4.0,66.0,3.0,10.0,20.0,137.0,1,2,1,4,7,8,0,0,0,0,0,0
509,1959,Undergraduate,55,Middle-aged,61250.0,Middle,2,2012-12-16,49,Sunday,December,382.0,138.0,65.0,60.0,26.0,59.0,730.0,6,5,2,12,5,25,0,0,0,0,0,0
510,1981,Postgraduate,33,Young Adults,39665.0,Lower Middle,3,2013-05-25,97,Saturday,May,127.0,1.0,56.0,0.0,1.0,31.0,216.0,3,4,2,3,7,12,1,0,0,0,0,1
511,1979,Undergraduate,35,Young Adults,60152.0,Middle,2,2013-03-28,6,Thursday,March,325.0,83.0,300.0,86.0,58.0,91.0,943.0,1,6,4,12,3,23,0,0,0,0,0,0
512,1964,Undergraduate,50,Middle-aged,48920.0,Lower Middle,4,2013-10-20,93,Sunday,October,238.0,17.0,68.0,8.0,10.0,6.0,347.0,3,6,2,5,7,16,0,1,0,0,0,1
513,1959,Postgraduate,55,Middle-aged,89120.0,Middle,2,2014-03-17,78,Monday,March,1168.0,92.0,408.0,72.0,129.0,55.0,1924.0,1,5,6,7,1,19,0,0,1,0,0,1
514,1946,Postgraduate,68,Old,44124.0,Lower Middle,3,2013-05-11,62,Saturday,May,284.0,0.0,55.0,0.0,6.0,52.0,397.0,4,6,2,5,8,17,0,0,0,0,0,0
515,1975,Postgraduate,39,Young Adults,81169.0,Middle,1,2013-04-14,47,Sunday,April,1288.0,20.0,613.0,80.0,61.0,27.0,2089.0,1,5,7,9,2,22,0,0,0,0,0,0
516,1961,Undergraduate,53,Middle-aged,36443.0,Lower Middle,4,2013-02-03,9,Sunday,February,65.0,0.0,46.0,4.0,3.0,20.0,138.0,4,3,1,3,8,11,0,0,0,0,0,0
517,1990,Undergraduate,24,Young Adults,26095.0,Poor,2,2013-06-30,77,Sunday,June,11.0,7.0,9.0,3.0,1.0,11.0,42.0,1,1,0,3,7,5,0,0,0,0,0,0
518,1959,Undergraduate,55,Middle-aged,71367.0,Middle,2,2013-08-23,24,Friday,August,227.0,23.0,389.0,42.0,21.0,75.0,777.0,1,4,5,7,2,17,0,0,0,0,0,0
519,1944,Postgraduate,70,Old,80184.0,Middle,2,2014-03-01,19,Saturday,March,1035.0,134.0,670.0,25.0,38.0,0.0,1902.0,1,6,3,10,3,20,0,0,1,1,0,2
520,1965,Undergraduate,49,Middle-aged,30630.0,Lower Middle,3,2014-01-27,67,Monday,January,27.0,1.0,12.0,2.0,0.0,10.0,52.0,2,2,0,3,7,7,0,0,0,0,0,0
521,1987,Postgraduate,27,Young Adults,73454.0,Middle,1,2014-03-01,95,Saturday,March,982.0,73.0,351.0,56.0,14.0,175.0,1651.0,1,2,4,6,5,13,1,0,0,0,0,1
522,1991,Undergraduate,23,Young Adults,42691.0,Lower Middle,2,2013-08-16,48,Friday,August,179.0,2.0,64.0,38.0,17.0,58.0,358.0,1,5,1,6,5,13,0,0,0,0,0,0
523,1953,Undergraduate,61,Old,70503.0,Middle,2,2012-09-30,73,Sunday,September,1379.0,33.0,216.0,0.0,33.0,66.0,1727.0,1,2,4,9,6,16,0,1,1,0,0,2
524,1987,Undergraduate,27,Young Adults,25545.0,Poor,3,2012-09-08,35,Saturday,September,32.0,1.0,64.0,16.0,12.0,85.0,210.0,3,2,2,3,6,10,0,0,0,0,0,0
525,1986,Undergraduate,28,Young Adults,32880.0,Lower Middle,3,2012-12-04,76,Tuesday,December,8.0,4.0,15.0,7.0,6.0,2.0,42.0,1,1,0,3,8,5,0,0,0,0,0,0
526,1958,Postgraduate,56,Middle-aged,77863.0,Middle,2,2013-11-27,20,Wednesday,November,881.0,38.0,319.0,16.0,25.0,12.0,1291.0,1,4,5,10,2,20,0,0,0,0,0,0
527,1977,Postgraduate,37,Young Adults,50353.0,Middle,2,2014-06-08,72,Sunday,June,141.0,15.0,153.0,67.0,31.0,35.0,442.0,1,4,4,6,3,15,0,0,0,0,0,0
528,1964,Undergraduate,50,Middle-aged,61839.0,Middle,1,2012-08-12,20,Sunday,August,1000.0,155.0,379.0,224.0,17.0,120.0,1895.0,1,4,8,4,8,17,0,0,0,0,0,0
529,1960,Postgraduate,54,Middle-aged,49154.0,Lower Middle,4,2013-11-03,69,Sunday,November,206.0,10.0,67.0,30.0,27.0,71.0,411.0,6,4,1,8,6,19,0,0,0,0,0,0
530,1975,Postgraduate,39,Young Adults,47682.0,Lower Middle,2,2013-02-15,80,Friday,February,162.0,61.0,83.0,97.0,57.0,61.0,521.0,4,4,3,8,5,19,0,0,0,0,0,0
531,1969,Undergraduate,45,Middle-aged,72679.0,Middle,2,2013-09-18,65,Wednesday,September,619.0,54.0,260.0,127.0,54.0,54.0,1168.0,1,4,7,5,1,17,0,0,0,0,0,0
532,1977,Postgraduate,37,Young Adults,57954.0,Middle,4,2014-06-18,52,Wednesday,June,456.0,4.0,24.0,0.0,0.0,9.0,493.0,7,8,2,6,7,23,0,1,0,0,0,1
533,1962,Undergraduate,52,Middle-aged,65316.0,Middle,4,2013-04-24,65,Wednesday,April,112.0,6.0,92.0,3.0,9.0,38.0,260.0,2,3,2,5,4,12,0,0,0,0,0,0
534,1982,Undergraduate,32,Young Adults,28567.0,Poor,2,2013-06-17,57,Monday,June,11.0,3.0,22.0,2.0,2.0,6.0,46.0,2,2,0,3,6,7,0,0,0,0,0,0
535,1951,Postgraduate,63,Old,47352.0,Lower Middle,3,2013-04-11,70,Thursday,April,172.0,12.0,112.0,8.0,0.0,15.0,319.0,4,6,1,5,7,16,0,0,0,0,0,0
536,1967,Undergraduate,47,Middle-aged,44931.0,Lower Middle,3,2014-01-18,0,Saturday,January,78.0,0.0,11.0,0.0,0.0,7.0,96.0,1,2,1,3,5,7,0,0,0,0,0,0
537,1967,Undergraduate,47,Middle-aged,76982.0,Middle,1,2014-02-15,19,Saturday,February,464.0,151.0,292.0,65.0,60.0,30.0,1062.0,1,8,3,4,4,16,0,0,1,0,0,1
538,1952,Postgraduate,62,Old,57247.0,Middle,3,2013-08-08,50,Thursday,August,99.0,4.0,32.0,37.0,54.0,6.0,232.0,2,2,1,7,2,12,0,0,0,0,0,0
539,1981,Postgraduate,33,Young Adults,22944.0,Poor,2,2013-12-23,67,Monday,December,19.0,3.0,19.0,4.0,5.0,26.0,76.0,3,3,0,3,7,9,0,0,0,0,0,0
540,1977,Postgraduate,37,Young Adults,25315.0,Poor,3,2013-11-07,46,Thursday,November,1.0,9.0,8.0,11.0,3.0,22.0,54.0,3,3,0,3,8,9,0,0,0,0,0,0
541,1969,Undergraduate,45,Middle-aged,43638.0,Lower Middle,2,2012-08-06,37,Monday,August,63.0,10.0,83.0,7.0,19.0,19.0,201.0,2,4,1,4,7,11,0,0,0,0,0,0
542,1984,Postgraduate,30,Young Adults,42710.0,Lower Middle,2,2012-11-28,38,Wednesday,November,252.0,3.0,42.0,4.0,3.0,102.0,406.0,2,4,5,3,6,14,0,0,0,0,0,0
543,1982,Postgraduate,32,Young Adults,84169.0,Middle,2,2013-08-07,9,Wednesday,August,1478.0,19.0,403.0,0.0,19.0,0.0,1919.0,1,7,6,6,3,20,0,1,1,0,0,2
544,1976,Undergraduate,38,Young Adults,54058.0,Middle,3,2013-06-04,56,Tuesday,June,198.0,18.0,252.0,32.0,108.0,54.0,662.0,2,4,6,8,3,20,0,0,0,0,0,0
545,1990,Postgraduate,24,Young Adults,24683.0,Poor,3,2014-03-08,98,Saturday,March,8.0,4.0,10.0,6.0,7.0,6.0,41.0,2,2,0,4,5,8,0,0,0,0,0,0
546,1964,Undergraduate,50,Middle-aged,85620.0,Middle,1,2014-01-07,68,Tuesday,January,416.0,46.0,925.0,60.0,107.0,46.0,1600.0,1,3,6,4,1,14,0,0,0,0,0,0
547,1980,Undergraduate,34,Young Adults,47850.0,Lower Middle,3,2013-12-03,72,Tuesday,December,42.0,7.0,43.0,20.0,12.0,10.0,134.0,1,3,0,4,6,8,0,0,0,0,0,0
548,1968,Undergraduate,46,Middle-aged,19514.0,Poor,4,2014-01-26,47,Sunday,January,14.0,3.0,21.0,2.0,1.0,28.0,69.0,4,3,1,2,8,10,1,0,0,0,0,1
549,1973,Postgraduate,41,Middle-aged,27159.0,Poor,4,2014-03-29,33,Saturday,March,17.0,0.0,3.0,0.0,0.0,1.0,21.0,2,1,0,3,6,6,0,0,0,0,0,0
550,1963,Postgraduate,51,Middle-aged,39548.0,Lower Middle,3,2014-03-31,87,Monday,March,15.0,4.0,10.0,3.0,4.0,18.0,54.0,2,1,1,3,3,7,0,0,0,0,0,0
551,1989,Undergraduate,25,Young Adults,21474.0,Poor,2,2014-04-08,0,Tuesday,April,6.0,16.0,24.0,11.0,0.0,34.0,91.0,2,3,1,2,7,8,1,0,0,0,0,1
552,1971,Postgraduate,43,Middle-aged,60504.0,Middle,2,2014-02-07,73,Friday,February,458.0,0.0,24.0,6.0,4.0,34.0,526.0,2,6,2,8,6,18,0,0,0,0,0,0
553,1963,Undergraduate,51,Middle-aged,22419.0,Poor,2,2013-04-18,74,Thursday,April,30.0,3.0,47.0,19.0,21.0,42.0,162.0,1,3,2,2,8,8,0,0,0,0,0,0
554,1949,Postgraduate,65,Old,81698.0,Middle,2,2013-11-06,4,Wednesday,November,179.0,28.0,520.0,111.0,123.0,47.0,1008.0,1,3,8,13,1,25,0,0,0,0,0,0
555,1952,Undergraduate,62,Old,43462.0,Lower Middle,4,2012-09-12,50,Wednesday,September,90.0,17.0,97.0,15.0,6.0,15.0,240.0,6,4,1,5,8,16,0,0,0,0,0,0
556,1978,Postgraduate,36,Young Adults,54880.0,Middle,2,2013-03-01,57,Friday,March,308.0,85.0,137.0,102.0,45.0,118.0,795.0,2,6,2,11,5,21,0,0,0,0,0,0
557,1982,Undergraduate,32,Young Adults,79908.0,Middle,2,2013-04-05,30,Friday,April,557.0,129.0,761.0,29.0,185.0,111.0,1772.0,1,5,6,7,2,19,0,0,1,0,0,1
558,1970,Postgraduate,44,Middle-aged,15315.0,Poor,2,2013-08-03,27,Saturday,August,7.0,4.0,13.0,15.0,8.0,17.0,64.0,2,2,0,4,5,8,0,0,0,0,0,0
559,1959,Undergraduate,55,Middle-aged,87771.0,Middle,3,2013-05-22,61,Wednesday,May,1492.0,38.0,287.0,50.0,57.0,33.0,1957.0,1,5,10,4,6,20,0,1,1,1,1,4
560,1978,Undergraduate,36,Young Adults,33039.0,Lower Middle,3,2013-09-09,4,Monday,September,30.0,8.0,12.0,8.0,8.0,12.0,78.0,1,2,0,4,5,7,0,0,0,0,0,0
561,1980,Undergraduate,34,Young Adults,81741.0,Middle,1,2013-06-16,75,Sunday,June,249.0,153.0,940.0,58.0,134.0,38.0,1572.0,0,6,6,7,2,19,0,0,0,0,0,0
562,1971,Postgraduate,43,Middle-aged,71499.0,Middle,3,2013-06-25,12,Tuesday,June,465.0,25.0,132.0,136.0,0.0,37.0,795.0,2,8,3,13,4,26,0,0,0,0,0,0
563,1970,Postgraduate,44,Middle-aged,62466.0,Middle,3,2014-01-15,13,Wednesday,January,129.0,129.0,259.0,168.0,121.0,83.0,889.0,5,6,3,12,4,26,0,0,0,0,0,0
564,1963,Postgraduate,51,Middle-aged,48799.0,Lower Middle,2,2013-11-05,9,Tuesday,November,174.0,18.0,81.0,28.0,6.0,24.0,331.0,3,3,2,7,3,15,0,0,0,0,0,0
565,1950,Postgraduate,64,Old,52157.0,Middle,3,2014-06-07,48,Saturday,June,189.0,2.0,29.0,3.0,2.0,40.0,265.0,2,3,2,5,4,12,0,0,0,0,0,0
566,1962,Undergraduate,52,Middle-aged,66565.0,Middle,2,2012-12-05,80,Wednesday,December,747.0,10.0,161.0,65.0,40.0,42.0,1065.0,4,4,2,9,8,19,0,0,0,0,0,0
567,1951,Postgraduate,63,Old,29298.0,Poor,4,2013-09-07,60,Saturday,September,6.0,0.0,2.0,2.0,0.0,1.0,11.0,1,1,0,2,5,4,0,0,0,0,0,0
568,1979,Undergraduate,35,Young Adults,47691.0,Lower Middle,2,2013-07-05,43,Friday,July,14.0,0.0,3.0,0.0,0.0,4.0,21.0,1,1,0,2,6,4,0,0,0,0,0,0
569,1970,Undergraduate,44,Middle-aged,38200.0,Lower Middle,4,2012-12-07,19,Friday,December,12.0,0.0,4.0,0.0,0.0,1.0,17.0,1,1,0,2,7,4,0,0,0,0,0,0
570,1974,Undergraduate,40,Middle-aged,44989.0,Lower Middle,3,2012-09-12,26,Wednesday,September,98.0,0.0,106.0,49.0,10.0,106.0,369.0,5,5,1,5,6,16,0,0,0,0,0,0
571,1968,Postgraduate,46,Middle-aged,38443.0,Lower Middle,4,2014-01-27,58,Monday,January,32.0,0.0,5.0,0.0,0.0,1.0,38.0,2,1,0,3,7,6,0,0,0,0,0,0
572,1978,Postgraduate,36,Young Adults,38593.0,Lower Middle,2,2013-09-13,42,Friday,September,51.0,12.0,49.0,17.0,24.0,24.0,177.0,3,4,1,3,8,11,0,0,0,0,0,0
573,1970,Postgraduate,44,Middle-aged,64413.0,Middle,3,2013-08-01,27,Thursday,August,200.0,5.0,44.0,0.0,10.0,20.0,279.0,1,5,1,5,5,12,0,0,0,0,0,0
574,1981,Postgraduate,33,Young Adults,36959.0,Lower Middle,3,2013-10-02,56,Wednesday,October,25.0,6.0,25.0,6.0,0.0,0.0,62.0,2,2,0,3,8,7,0,0,0,0,0,0
575,1977,Postgraduate,37,Young Adults,61996.0,Middle,3,2013-01-31,27,Thursday,January,1050.0,12.0,144.0,0.0,0.0,24.0,1230.0,3,6,4,8,5,21,0,1,0,1,1,3
576,1968,Undergraduate,46,Middle-aged,51287.0,Middle,4,2014-04-01,10,Tuesday,April,117.0,0.0,22.0,13.0,0.0,30.0,182.0,3,4,1,3,7,11,0,0,0,0,0,0
577,1970,Undergraduate,44,Middle-aged,13260.0,Poor,4,2013-08-23,48,Friday,August,9.0,4.0,17.0,10.0,2.0,7.0,49.0,4,3,0,3,8,10,0,0,0,0,0,0
578,1966,Postgraduate,48,Middle-aged,47472.0,Lower Middle,4,2013-09-16,39,Monday,September,56.0,0.0,11.0,0.0,0.0,8.0,75.0,2,2,0,4,5,8,0,0,0,0,0,0
579,1956,Postgraduate,58,Middle-aged,54603.0,Middle,4,2013-07-09,85,Tuesday,July,145.0,13.0,46.0,17.0,2.0,4.0,227.0,6,4,2,4,7,16,0,0,0,0,0,0
580,1974,Postgraduate,40,Middle-aged,45207.0,Lower Middle,4,2012-11-10,64,Saturday,November,203.0,0.0,10.0,0.0,0.0,2.0,215.0,5,3,1,6,6,15,0,1,0,0,0,1
582,1967,Postgraduate,47,Middle-aged,47821.0,Lower Middle,4,2013-10-20,54,Sunday,October,9.0,0.0,16.0,6.0,6.0,10.0,47.0,1,1,0,3,8,5,0,0,0,0,0,0
583,1951,Postgraduate,63,Old,27450.0,Poor,2,2013-04-15,57,Monday,April,37.0,12.0,23.0,8.0,11.0,52.0,143.0,1,2,1,3,7,7,0,0,0,0,0,0
584,1983,Undergraduate,31,Young Adults,39453.0,Lower Middle,3,2014-04-03,64,Thursday,April,46.0,0.0,7.0,0.0,0.0,2.0,55.0,2,2,0,3,6,7,0,0,0,0,0,0
585,1971,Postgraduate,43,Middle-aged,26850.0,Poor,4,2014-04-18,10,Friday,April,31.0,1.0,13.0,7.0,2.0,9.0,63.0,4,2,1,4,4,11,0,0,0,0,0,0
